cdr_id,case_id,caller,receiver,timestamp,duration,tower,imei
CDR-000017,FIR-2026-0017,+917000633520,+917000649358,2026-01-01T07:52:00.000Z,612,TWR-005-HOWRAH,860000000080720
CDR-000018,FIR-2026-0018,+917000673115,+917000696872,2026-01-01T07:59:00.000Z,649,TWR-006-INDIRANAGAR,860000000085765
CDR-000019,FIR-2026-0019,+917000712710,+917000720629,2026-01-01T08:06:00.000Z,686,TWR-007-KOCHI,860000000090810
CDR-000020,FIR-2026-0020,+917000752305,+917000768143,2026-01-01T08:13:00.000Z,723,TWR-008-MUMBAI,860000000095855
CDR-000021,FIR-2026-0021,+917000791900,+917000815657,2026-01-01T08:20:00.000Z,760,TWR-009-PUNE,860000000100900
CDR-000022,FIR-2026-0022,+917000831495,+917000839414,2026-01-01T08:27:00.000Z,797,TWR-010-SECTOR,860000000105945
CDR-000023,FIR-2026-0023,+917000871090,+917000886928,2026-01-01T08:34:00.000Z,834,TWR-011-T,860000000110990
CDR-000024,FIR-2026-0024,+917000910685,+917000934442,2026-01-01T08:41:00.000Z,871,TWR-012-VAISHALI,860000000116035
CDR-000025,FIR-2026-0025,+917000950280,+917000958199,2026-01-01T08:48:00.000Z,908,TWR-001-BENGALURU,860000000121080
CDR-000026,FIR-2026-0026,+917000989875,+917001005713,2026-01-01T08:55:00.000Z,945,TWR-002-CHANDNI,860000000126125
CDR-000027,FIR-2026-0027,+917001029470,+917001053227,2026-01-01T09:02:00.000Z,982,TWR-003-CHARMINAR,860000000131170
CDR-000028,FIR-2026-0028,+917001069065,+917001076984,2026-01-01T09:09:00.000Z,1019,TWR-004-GOMTI,860000000136215
CDR-000029,FIR-2026-0029,+917001108660,+917001124498,2026-01-01T09:16:00.000Z,1056,TWR-005-HOWRAH,860000000141260
CDR-000030,FIR-2026-0030,+917001148255,+917001172012,2026-01-01T09:23:00.000Z,1093,TWR-006-INDIRANAGAR,860000000146305
CDR-000031,FIR-2026-0031,+917001187850,+917001195769,2026-01-01T09:30:00.000Z,1130,TWR-007-KOCHI,860000000151350
CDR-000032,FIR-2026-0032,+917001227445,+917001243283,2026-01-01T09:37:00.000Z,1167,TWR-008-MUMBAI,860000000156395
CDR-000033,FIR-2026-0033,+917001267040,+917001290797,2026-01-01T09:44:00.000Z,24,TWR-009-PUNE,860000000161440
CDR-000034,FIR-2026-0034,+917001306635,+917001314554,2026-01-01T09:51:00.000Z,61,TWR-010-SECTOR,860000000166485
CDR-000035,FIR-2026-0035,+917001346230,+917001362068,2026-01-01T09:58:00.000Z,98,TWR-011-T,860000000171530
CDR-000036,FIR-2026-0036,+917001385825,+917001409582,2026-01-01T10:05:00.000Z,135,TWR-012-VAISHALI,860000000176575
CDR-000037,FIR-2026-0037,+917001425420,+917001433339,2026-01-01T10:12:00.000Z,172,TWR-001-BENGALURU,860000000181620
CDR-000038,FIR-2026-0038,+917001465015,+917001480853,2026-01-01T10:19:00.000Z,209,TWR-002-CHANDNI,860000000186665
CDR-000039,FIR-2026-0039,+917001504610,+917001528367,2026-01-01T10:26:00.000Z,246,TWR-003-CHARMINAR,860000000191710
CDR-000040,FIR-2026-0040,+917001544205,+917001552124,2026-01-01T10:33:00.000Z,283,TWR-004-GOMTI,860000000196755
CDR-000041,FIR-2026-0041,+917000007919,+917000023757,2026-01-01T10:40:00.000Z,320,TWR-002-CHANDNI,860000000001009
CDR-000042,FIR-2026-0042,+917000047514,+917000071271,2026-01-01T10:47:00.000Z,357,TWR-003-CHARMINAR,860000000006054
CDR-000043,FIR-2026-0043,+917000087109,+917000095028,2026-01-01T10:54:00.000Z,394,TWR-004-GOMTI,860000000011099
CDR-000044,FIR-2026-0044,+917000126704,+917000142542,2026-01-01T11:01:00.000Z,431,TWR-005-HOWRAH,860000000016144
CDR-000045,FIR-2026-0045,+917000166299,+917000190056,2026-01-01T11:08:00.000Z,468,TWR-006-INDIRANAGAR,860000000021189
CDR-000046,FIR-2026-0046,+917000205894,+917000213813,2026-01-01T11:15:00.000Z,505,TWR-007-KOCHI,860000000026234
CDR-000047,FIR-2026-0047,+917000245489,+917000261327,2026-01-01T11:22:00.000Z,542,TWR-008-MUMBAI,860000000031279
CDR-000048,FIR-2026-0048,+917000285084,+917000308841,2026-01-01T11:29:00.000Z,579,TWR-009-PUNE,860000000036324
CDR-000049,FIR-2026-0049,+917000324679,+917000332598,2026-01-01T11:36:00.000Z,616,TWR-010-SECTOR,860000000041369
CDR-000050,FIR-2026-0050,+917000364274,+917000380112,2026-01-01T11:43:00.000Z,653,TWR-011-T,860000000046414
CDR-000051,FIR-2026-0051,+917000403869,+917000427626,2026-01-01T11:50:00.000Z,690,TWR-012-VAISHALI,860000000051459
CDR-000052,FIR-2026-0052,+917000443464,+917000451383,2026-01-01T11:57:00.000Z,727,TWR-001-BENGALURU,860000000056504
CDR-000053,FIR-2026-0053,+917000483059,+917000498897,2026-01-01T12:04:00.000Z,764,TWR-002-CHANDNI,860000000061549
CDR-000054,FIR-2026-0054,+917000522654,+917000546411,2026-01-01T12:11:00.000Z,801,TWR-003-CHARMINAR,860000000066594
CDR-000055,FIR-2026-0055,+917000562249,+917000570168,2026-01-01T12:18:00.000Z,838,TWR-004-GOMTI,860000000071639
CDR-000056,FIR-2026-0056,+917000601844,+917000617682,2026-01-01T12:25:00.000Z,875,TWR-005-HOWRAH,860000000076684
CDR-000057,FIR-2026-0057,+917000641439,+917000665196,2026-01-01T12:32:00.000Z,912,TWR-006-INDIRANAGAR,860000000081729
CDR-000058,FIR-2026-0058,+917000681034,+917000688953,2026-01-01T12:39:00.000Z,949,TWR-007-KOCHI,860000000086774
CDR-000059,FIR-2026-0059,+917000720629,+917000736467,2026-01-01T12:46:00.000Z,986,TWR-008-MUMBAI,860000000091819
CDR-000060,FIR-2026-0060,+917000760224,+917000783981,2026-01-01T12:53:00.000Z,1023,TWR-009-PUNE,860000000096864
CDR-000061,FIR-2026-0061,+917000799819,+917000807738,2026-01-01T13:00:00.000Z,1060,TWR-010-SECTOR,860000000101909
CDR-000062,FIR-2026-0062,+917000839414,+917000855252,2026-01-01T13:07:00.000Z,1097,TWR-011-T,860000000106954
CDR-000063,FIR-2026-0063,+917000879009,+917000902766,2026-01-01T13:14:00.000Z,1134,TWR-012-VAISHALI,860000000111999
CDR-000064,FIR-2026-0064,+917000918604,+917000926523,2026-01-01T13:21:00.000Z,1171,TWR-001-BENGALURU,860000000117044
CDR-000065,FIR-2026-0065,+917000958199,+917000974037,2026-01-01T13:28:00.000Z,28,TWR-002-CHANDNI,860000000122089
CDR-000066,FIR-2026-0066,+917000997794,+917001021551,2026-01-01T13:35:00.000Z,65,TWR-003-CHARMINAR,860000000127134
CDR-000067,FIR-2026-0067,+917001037389,+917001045308,2026-01-01T13:42:00.000Z,102,TWR-004-GOMTI,860000000132179
CDR-000068,FIR-2026-0068,+917001076984,+917001092822,2026-01-01T13:49:00.000Z,139,TWR-005-HOWRAH,860000000137224
CDR-000069,FIR-2026-0069,+917001116579,+917001140336,2026-01-01T13:56:00.000Z,176,TWR-006-INDIRANAGAR,860000000142269
CDR-000070,FIR-2026-0070,+917001156174,+917001164093,2026-01-01T14:03:00.000Z,213,TWR-007-KOCHI,860000000147314
CDR-000071,FIR-2026-0071,+917001195769,+917001211607,2026-01-01T14:10:00.000Z,250,TWR-008-MUMBAI,860000000152359
CDR-000072,FIR-2026-0072,+917001235364,+917001259121,2026-01-01T14:17:00.000Z,287,TWR-009-PUNE,860000000157404
CDR-000073,FIR-2026-0073,+917001274959,+917001282878,2026-01-01T14:24:00.000Z,324,TWR-010-SECTOR,860000000162449
CDR-000074,FIR-2026-0074,+917001314554,+917001330392,2026-01-01T14:31:00.000Z,361,TWR-011-T,860000000167494
CDR-000075,FIR-2026-0075,+917001354149,+917001377906,2026-01-01T14:38:00.000Z,398,TWR-012-VAISHALI,860000000172539
CDR-000076,FIR-2026-0076,+917001393744,+917001401663,2026-01-01T14:45:00.000Z,435,TWR-001-BENGALURU,860000000177584
CDR-000077,FIR-2026-0077,+917001433339,+917001449177,2026-01-01T14:52:00.000Z,472,TWR-002-CHANDNI,860000000182629
CDR-000078,FIR-2026-0078,+917001472934,+917001496691,2026-01-01T14:59:00.000Z,509,TWR-003-CHARMINAR,860000000187674
CDR-000079,FIR-2026-0079,+917001512529,+917001520448,2026-01-01T15:06:00.000Z,546,TWR-004-GOMTI,860000000192719
CDR-000080,FIR-2026-0080,+917001552124,+917001567962,2026-01-01T15:13:00.000Z,583,TWR-005-HOWRAH,860000000197764
CDR-000081,FIR-2026-0081,+917000015838,+917000000000,2026-01-01T15:20:00.000Z,620,TWR-003-CHARMINAR,860000000002018
CDR-000082,FIR-2026-0082,+917000055433,+917000063352,2026-01-01T15:27:00.000Z,657,TWR-004-GOMTI,860000000007063
CDR-000083,FIR-2026-0083,+917000095028,+917000110866,2026-01-01T15:34:00.000Z,694,TWR-005-HOWRAH,860000000012108
CDR-000084,FIR-2026-0084,+917000134623,+917000118785,2026-01-01T15:41:00.000Z,731,TWR-006-INDIRANAGAR,860000000017153
CDR-000085,FIR-2026-0085,+917000174218,+917000182137,2026-01-01T15:48:00.000Z,768,TWR-007-KOCHI,860000000022198
CDR-000086,FIR-2026-0086,+917000213813,+917000229651,2026-01-01T15:55:00.000Z,805,TWR-008-MUMBAI,860000000027243
CDR-000087,FIR-2026-0087,+917000253408,+917000237570,2026-01-01T16:02:00.000Z,842,TWR-009-PUNE,860000000032288
CDR-000088,FIR-2026-0088,+917000293003,+917000300922,2026-01-01T16:09:00.000Z,879,TWR-010-SECTOR,860000000037333
CDR-000089,FIR-2026-0089,+917000332598,+917000348436,2026-01-01T16:16:00.000Z,916,TWR-011-T,860000000042378
CDR-000090,FIR-2026-0090,+917000372193,+917000356355,2026-01-01T16:23:00.000Z,953,TWR-012-VAISHALI,860000000047423
CDR-000091,FIR-2026-0091,+917000411788,+917000419707,2026-01-01T16:30:00.000Z,990,TWR-001-BENGALURU,860000000052468
CDR-000092,FIR-2026-0092,+917000451383,+917000467221,2026-01-01T16:37:00.000Z,1027,TWR-002-CHANDNI,860000000057513
CDR-000093,FIR-2026-0093,+917000490978,+917000475140,2026-01-01T16:44:00.000Z,1064,TWR-003-CHARMINAR,860000000062558
CDR-000094,FIR-2026-0094,+917000530573,+917000538492,2026-01-01T16:51:00.000Z,1101,TWR-004-GOMTI,860000000067603
CDR-000095,FIR-2026-0095,+917000570168,+917000586006,2026-01-01T16:58:00.000Z,1138,TWR-005-HOWRAH,860000000072648
CDR-000096,FIR-2026-0096,+917000609763,+917000593925,2026-01-01T17:05:00.000Z,1175,TWR-006-INDIRANAGAR,860000000077693
CDR-000097,FIR-2026-0097,+917000649358,+917000657277,2026-01-01T17:12:00.000Z,32,TWR-007-KOCHI,860000000082738
CDR-000098,FIR-2026-0098,+917000688953,+917000704791,2026-01-01T17:19:00.000Z,69,TWR-008-MUMBAI,860000000087783
CDR-000099,FIR-2026-0099,+917000728548,+917000712710,2026-01-01T17:26:00.000Z,106,TWR-009-PUNE,860000000092828
CDR-000100,FIR-2026-0100,+917000768143,+917000776062,2026-01-01T17:33:00.000Z,143,TWR-010-SECTOR,860000000097873
CDR-000101,FIR-2026-0101,+917000807738,+917000823576,2026-01-01T17:40:00.000Z,180,TWR-011-T,860000000102918
CDR-000102,FIR-2026-0102,+917000847333,+917000831495,2026-01-01T17:47:00.000Z,217,TWR-012-VAISHALI,860000000107963
CDR-000103,FIR-2026-0103,+917000886928,+917000894847,2026-01-01T17:54:00.000Z,254,TWR-001-BENGALURU,860000000113008
CDR-000104,FIR-2026-0104,+917000926523,+917000942361,2026-01-01T18:01:00.000Z,291,TWR-002-CHANDNI,860000000118053
CDR-000105,FIR-2026-0105,+917000966118,+917000950280,2026-01-01T18:08:00.000Z,328,TWR-003-CHARMINAR,860000000123098
CDR-000106,FIR-2026-0106,+917001005713,+917001013632,2026-01-01T18:15:00.000Z,365,TWR-004-GOMTI,860000000128143
CDR-000107,FIR-2026-0107,+917001045308,+917001061146,2026-01-01T18:22:00.000Z,402,TWR-005-HOWRAH,860000000133188
CDR-000108,FIR-2026-0108,+917001084903,+917001069065,2026-01-01T18:29:00.000Z,439,TWR-006-INDIRANAGAR,860000000138233
CDR-000109,FIR-2026-0109,+917001124498,+917001132417,2026-01-01T18:36:00.000Z,476,TWR-007-KOCHI,860000000143278
CDR-000110,FIR-2026-0110,+917001164093,+917001179931,2026-01-01T18:43:00.000Z,513,TWR-008-MUMBAI,860000000148323
CDR-000111,FIR-2026-0111,+917001203688,+917001187850,2026-01-01T18:50:00.000Z,550,TWR-009-PUNE,860000000153368
CDR-000112,FIR-2026-0112,+917001243283,+917001251202,2026-01-01T18:57:00.000Z,587,TWR-010-SECTOR,860000000158413
CDR-000113,FIR-2026-0113,+917001282878,+917001298716,2026-01-01T19:04:00.000Z,624,TWR-011-T,860000000163458
CDR-000114,FIR-2026-0114,+917001322473,+917001306635,2026-01-01T19:11:00.000Z,661,TWR-012-VAISHALI,860000000168503
CDR-000115,FIR-2026-0115,+917001362068,+917001369987,2026-01-01T19:18:00.000Z,698,TWR-001-BENGALURU,860000000173548
CDR-000116,FIR-2026-0116,+917001401663,+917001417501,2026-01-01T19:25:00.000Z,735,TWR-002-CHANDNI,860000000178593
CDR-000117,FIR-2026-0117,+917001441258,+917001425420,2026-01-01T19:32:00.000Z,772,TWR-003-CHARMINAR,860000000183638
CDR-000118,FIR-2026-0118,+917001480853,+917001488772,2026-01-01T19:39:00.000Z,809,TWR-004-GOMTI,860000000188683
CDR-000119,FIR-2026-0119,+917001520448,+917001536286,2026-01-01T19:46:00.000Z,846,TWR-005-HOWRAH,860000000193728
CDR-000120,FIR-2026-0120,+917001560043,+917001544205,2026-01-01T19:53:00.000Z,883,TWR-006-INDIRANAGAR,860000000198773
CDR-000121,FIR-2026-0121,+917000023757,+917000031676,2026-01-01T20:00:00.000Z,920,TWR-004-GOMTI,860000000003027
CDR-000122,FIR-2026-0122,+917000063352,+917000039595,2026-01-01T20:07:00.000Z,957,TWR-005-HOWRAH,860000000008072
CDR-000123,FIR-2026-0123,+917000102947,+917000087109,2026-01-01T20:14:00.000Z,994,TWR-006-INDIRANAGAR,860000000013117
CDR-000124,FIR-2026-0124,+917000142542,+917000150461,2026-01-01T20:21:00.000Z,1031,TWR-007-KOCHI,860000000018162
CDR-000125,FIR-2026-0125,+917000182137,+917000158380,2026-01-01T20:28:00.000Z,1068,TWR-008-MUMBAI,860000000023207
CDR-000126,FIR-2026-0126,+917000221732,+917000205894,2026-01-01T20:35:00.000Z,1105,TWR-009-PUNE,860000000028252
CDR-000127,FIR-2026-0127,+917000261327,+917000269246,2026-01-01T20:42:00.000Z,1142,TWR-010-SECTOR,860000000033297
CDR-000128,FIR-2026-0128,+917000300922,+917000277165,2026-01-01T20:49:00.000Z,1179,TWR-011-T,860000000038342
CDR-000129,FIR-2026-0129,+917000340517,+917000324679,2026-01-01T20:56:00.000Z,36,TWR-012-VAISHALI,860000000043387
CDR-000130,FIR-2026-0130,+917000380112,+917000388031,2026-01-01T21:03:00.000Z,73,TWR-001-BENGALURU,860000000048432
CDR-000131,FIR-2026-0131,+917000419707,+917000395950,2026-01-01T21:10:00.000Z,110,TWR-002-CHANDNI,860000000053477
CDR-000132,FIR-2026-0132,+917000459302,+917000443464,2026-01-01T21:17:00.000Z,147,TWR-003-CHARMINAR,860000000058522
CDR-000133,FIR-2026-0133,+917000498897,+917000506816,2026-01-01T21:24:00.000Z,184,TWR-004-GOMTI,860000000063567
CDR-000134,FIR-2026-0134,+917000538492,+917000514735,2026-01-01T21:31:00.000Z,221,TWR-005-HOWRAH,860000000068612
CDR-000135,FIR-2026-0135,+917000578087,+917000562249,2026-01-01T21:38:00.000Z,258,TWR-006-INDIRANAGAR,860000000073657
CDR-000136,FIR-2026-0136,+917000617682,+917000625601,2026-01-01T21:45:00.000Z,295,TWR-007-KOCHI,860000000078702
CDR-000137,FIR-2026-0137,+917000657277,+917000633520,2026-01-01T21:52:00.000Z,332,TWR-008-MUMBAI,860000000083747
CDR-000138,FIR-2026-0138,+917000696872,+917000681034,2026-01-01T21:59:00.000Z,369,TWR-009-PUNE,860000000088792
CDR-000139,FIR-2026-0139,+917000736467,+917000744386,2026-01-01T22:06:00.000Z,406,TWR-010-SECTOR,860000000093837
CDR-000140,FIR-2026-0140,+917000776062,+917000752305,2026-01-01T22:13:00.000Z,443,TWR-011-T,860000000098882
CDR-000141,FIR-2026-0141,+917000815657,+917000799819,2026-01-01T22:20:00.000Z,480,TWR-012-VAISHALI,860000000103927
CDR-000142,FIR-2026-0142,+917000855252,+917000863171,2026-01-01T22:27:00.000Z,517,TWR-001-BENGALURU,860000000108972
CDR-000143,FIR-2026-0143,+917000894847,+917000871090,2026-01-01T22:34:00.000Z,554,TWR-002-CHANDNI,860000000114017
CDR-000144,FIR-2026-0144,+917000934442,+917000918604,2026-01-01T22:41:00.000Z,591,TWR-003-CHARMINAR,860000000119062
CDR-000145,FIR-2026-0145,+917000974037,+917000981956,2026-01-01T22:48:00.000Z,628,TWR-004-GOMTI,860000000124107
CDR-000146,FIR-2026-0146,+917001013632,+917000989875,2026-01-01T22:55:00.000Z,665,TWR-005-HOWRAH,860000000129152
CDR-000147,FIR-2026-0147,+917001053227,+917001037389,2026-01-01T23:02:00.000Z,702,TWR-006-INDIRANAGAR,860000000134197
CDR-000148,FIR-2026-0148,+917001092822,+917001100741,2026-01-01T23:09:00.000Z,739,TWR-007-KOCHI,860000000139242
CDR-000149,FIR-2026-0149,+917001132417,+917001108660,2026-01-01T23:16:00.000Z,776,TWR-008-MUMBAI,860000000144287
CDR-000150,FIR-2026-0150,+917001172012,+917001156174,2026-01-01T23:23:00.000Z,813,TWR-009-PUNE,860000000149332
CDR-000151,FIR-2026-0151,+917001211607,+917001219526,2026-01-01T23:30:00.000Z,850,TWR-010-SECTOR,860000000154377
CDR-000152,FIR-2026-0152,+917001251202,+917001227445,2026-01-01T23:37:00.000Z,887,TWR-011-T,860000000159422
CDR-000153,FIR-2026-0153,+917001290797,+917001274959,2026-01-01T23:44:00.000Z,924,TWR-012-VAISHALI,860000000164467
CDR-000154,FIR-2026-0154,+917001330392,+917001338311,2026-01-01T23:51:00.000Z,961,TWR-001-BENGALURU,860000000169512
CDR-000155,FIR-2026-0155,+917001369987,+917001346230,2026-01-01T23:58:00.000Z,998,TWR-002-CHANDNI,860000000174557
CDR-000156,FIR-2026-0156,+917001409582,+917001393744,2026-01-02T00:05:00.000Z,1035,TWR-003-CHARMINAR,860000000179602
CDR-000157,FIR-2026-0157,+917001449177,+917001457096,2026-01-02T00:12:00.000Z,1072,TWR-004-GOMTI,860000000184647
CDR-000158,FIR-2026-0158,+917001488772,+917001465015,2026-01-02T00:19:00.000Z,1109,TWR-005-HOWRAH,860000000189692
CDR-000159,FIR-2026-0159,+917001528367,+917001512529,2026-01-02T00:26:00.000Z,1146,TWR-006-INDIRANAGAR,860000000194737
CDR-000160,FIR-2026-0160,+917001567962,+917001575881,2026-01-02T00:33:00.000Z,1183,TWR-007-KOCHI,860000000199782
CDR-000161,FIR-2026-0161,+917000031676,+917000007919,2026-01-02T00:40:00.000Z,40,TWR-005-HOWRAH,860000000004036
CDR-000162,FIR-2026-0162,+917000071271,+917000055433,2026-01-02T00:47:00.000Z,77,TWR-006-INDIRANAGAR,860000000009081
CDR-000163,FIR-2026-0163,+917000110866,+917000079190,2026-01-02T00:54:00.000Z,114,TWR-007-KOCHI,860000000014126
CDR-000164,FIR-2026-0164,+917000150461,+917000126704,2026-01-02T01:01:00.000Z,151,TWR-008-MUMBAI,860000000019171
CDR-000165,FIR-2026-0165,+917000190056,+917000174218,2026-01-02T01:08:00.000Z,188,TWR-009-PUNE,860000000024216
CDR-000166,FIR-2026-0166,+917000229651,+917000197975,2026-01-02T01:15:00.000Z,225,TWR-010-SECTOR,860000000029261
CDR-000167,FIR-2026-0167,+917000269246,+917000245489,2026-01-02T01:22:00.000Z,262,TWR-011-T,860000000034306
CDR-000168,FIR-2026-0168,+917000308841,+917000293003,2026-01-02T01:29:00.000Z,299,TWR-012-VAISHALI,860000000039351
CDR-000169,FIR-2026-0169,+917000348436,+917000316760,2026-01-02T01:36:00.000Z,336,TWR-001-BENGALURU,860000000044396
CDR-000170,FIR-2026-0170,+917000388031,+917000364274,2026-01-02T01:43:00.000Z,373,TWR-002-CHANDNI,860000000049441
CDR-000171,FIR-2026-0171,+917000427626,+917000411788,2026-01-02T01:50:00.000Z,410,TWR-003-CHARMINAR,860000000054486
CDR-000172,FIR-2026-0172,+917000467221,+917000435545,2026-01-02T01:57:00.000Z,447,TWR-004-GOMTI,860000000059531
CDR-000173,FIR-2026-0173,+917000506816,+917000483059,2026-01-02T02:04:00.000Z,484,TWR-005-HOWRAH,860000000064576
CDR-000174,FIR-2026-0174,+917000546411,+917000530573,2026-01-02T02:11:00.000Z,521,TWR-006-INDIRANAGAR,860000000069621
CDR-000175,FIR-2026-0175,+917000586006,+917000554330,2026-01-02T02:18:00.000Z,558,TWR-007-KOCHI,860000000074666
CDR-000176,FIR-2026-0176,+917000625601,+917000601844,2026-01-02T02:25:00.000Z,595,TWR-008-MUMBAI,860000000079711
CDR-000177,FIR-2026-0177,+917000665196,+917000649358,2026-01-02T02:32:00.000Z,632,TWR-009-PUNE,860000000084756
CDR-000178,FIR-2026-0178,+917000704791,+917000673115,2026-01-02T02:39:00.000Z,669,TWR-010-SECTOR,860000000089801
CDR-000179,FIR-2026-0179,+917000744386,+917000720629,2026-01-02T02:46:00.000Z,706,TWR-011-T,860000000094846
CDR-000180,FIR-2026-0180,+917000783981,+917000768143,2026-01-02T02:53:00.000Z,743,TWR-012-VAISHALI,860000000099891
CDR-000181,FIR-2026-0181,+917000823576,+917000791900,2026-01-02T03:00:00.000Z,780,TWR-001-BENGALURU,860000000104936
CDR-000182,FIR-2026-0182,+917000863171,+917000839414,2026-01-02T03:07:00.000Z,817,TWR-002-CHANDNI,860000000109981
CDR-000183,FIR-2026-0183,+917000902766,+917000886928,2026-01-02T03:14:00.000Z,854,TWR-003-CHARMINAR,860000000115026
CDR-000184,FIR-2026-0184,+917000942361,+917000910685,2026-01-02T03:21:00.000Z,891,TWR-004-GOMTI,860000000120071
CDR-000185,FIR-2026-0185,+917000981956,+917000958199,2026-01-02T03:28:00.000Z,928,TWR-005-HOWRAH,860000000125116
CDR-000186,FIR-2026-0186,+917001021551,+917001005713,2026-01-02T03:35:00.000Z,965,TWR-006-INDIRANAGAR,860000000130161
CDR-000187,FIR-2026-0187,+917001061146,+917001029470,2026-01-02T03:42:00.000Z,1002,TWR-007-KOCHI,860000000135206
CDR-000188,FIR-2026-0188,+917001100741,+917001076984,2026-01-02T03:49:00.000Z,1039,TWR-008-MUMBAI,860000000140251
CDR-000189,FIR-2026-0189,+917001140336,+917001124498,2026-01-02T03:56:00.000Z,1076,TWR-009-PUNE,860000000145296
CDR-000190,FIR-2026-0190,+917001179931,+917001148255,2026-01-02T04:03:00.000Z,1113,TWR-010-SECTOR,860000000150341
CDR-000191,FIR-2026-0191,+917001219526,+917001195769,2026-01-02T04:10:00.000Z,1150,TWR-011-T,860000000155386
CDR-000192,FIR-2026-0192,+917001259121,+917001243283,2026-01-02T04:17:00.000Z,1187,TWR-012-VAISHALI,860000000160431
CDR-000193,FIR-2026-0193,+917001298716,+917001267040,2026-01-02T04:24:00.000Z,44,TWR-001-BENGALURU,860000000165476
CDR-000194,FIR-2026-0194,+917001338311,+917001314554,2026-01-02T04:31:00.000Z,81,TWR-002-CHANDNI,860000000170521
CDR-000195,FIR-2026-0195,+917001377906,+917001362068,2026-01-02T04:38:00.000Z,118,TWR-003-CHARMINAR,860000000175566
CDR-000196,FIR-2026-0196,+917001417501,+917001385825,2026-01-02T04:45:00.000Z,155,TWR-004-GOMTI,860000000180611
CDR-000197,FIR-2026-0197,+917001457096,+917001433339,2026-01-02T04:52:00.000Z,192,TWR-005-HOWRAH,860000000185656
CDR-000198,FIR-2026-0198,+917001496691,+917001480853,2026-01-02T04:59:00.000Z,229,TWR-006-INDIRANAGAR,860000000190701
CDR-000199,FIR-2026-0199,+917001536286,+917001504610,2026-01-02T05:06:00.000Z,266,TWR-007-KOCHI,860000000195746
CDR-000200,FIR-2026-0200,+917001575881,+917001552124,2026-01-02T05:13:00.000Z,303,TWR-008-MUMBAI,860000000200791
CDR-000201,FIR-2026-0201,+917000000000,+917000023757,2026-01-02T05:20:00.000Z,340,TWR-001-BENGALURU,860000000000000
CDR-000202,FIR-2026-0202,+917000039595,+917000047514,2026-01-02T05:27:00.000Z,377,TWR-002-CHANDNI,860000000005045
CDR-000203,FIR-2026-0203,+917000079190,+917000095028,2026-01-02T05:34:00.000Z,414,TWR-003-CHARMINAR,860000000010090
CDR-000204,FIR-2026-0204,+917000118785,+917000142542,2026-01-02T05:41:00.000Z,451,TWR-004-GOMTI,860000000015135
CDR-000205,FIR-2026-0205,+917000158380,+917000166299,2026-01-02T05:48:00.000Z,488,TWR-005-HOWRAH,860000000020180
CDR-000206,FIR-2026-0206,+917000197975,+917000213813,2026-01-02T05:55:00.000Z,525,TWR-006-INDIRANAGAR,860000000025225
CDR-000207,FIR-2026-0207,+917000237570,+917000261327,2026-01-02T06:02:00.000Z,562,TWR-007-KOCHI,860000000030270
CDR-000208,FIR-2026-0208,+917000277165,+917000285084,2026-01-02T06:09:00.000Z,599,TWR-008-MUMBAI,860000000035315
