cdr_id,case_id,caller_phone,receiver_phone,timestamp,duration_seconds,location,cell_tower
CDR-F082617A,CASE-0125,+919675404043,+913603731905,2023-04-05T07:25:00,2721,Andheri West,TOWER-276
CDR-2FC70F0E,CASE-0195,+914813120521,+918624564306,2023-02-25T04:44:00,2103,Bandra Kurla Complex,TOWER-189
CDR-847B69B7,CASE-0125,+919675404043,+913037727434,2023-07-30T05:57:00,3333,Hinjewadi,TOWER-100
CDR-72098526,CASE-0340,+915024138264,+914471745770,2023-05-27T04:24:00,2600,Hinjewadi,TOWER-240
CDR-526969DB,CASE-0350,+913872565367,+918843545700,2023-01-04T12:18:00,2179,Bandra Kurla Complex,TOWER-780
CDR-4D87CD35,CASE-0110,+912848587043,+912848587043,2023-02-03T14:50:00,2095,Jubilee Hills,TOWER-435
CDR-9B90BBBE,CASE-0174,+910539363533,+916595753008,2023-10-06T13:11:00,116,Vasant Kunj,TOWER-708
CDR-3693B0EF,CASE-0359,+912062619351,+915148982381,2023-01-15T17:53:00,401,Jubilee Hills,TOWER-885
CDR-C0AEC43A,CASE-0168,+913335064912,+916838372544,2023-04-12T07:29:00,1611,Hinjewadi,TOWER-330
CDR-DB5C3CA8,CASE-0492,+911069703138,+912989985496,2023-05-24T19:25:00,1598,Indiranagar,TOWER-429
CDR-6C7D04A7,CASE-0045,+915246977904,+910035416859,2023-01-10T09:24:00,2603,Indiranagar,TOWER-600
CDR-A8717778,CASE-0089,+919130631889,+911472166061,2023-05-28T13:50:00,1019,Viman Nagar,TOWER-599
CDR-473F011C,CASE-0449,+914813120521,+912440682429,2023-05-21T04:48:00,3501,T Nagar,TOWER-543
CDR-3D4A6F05,CASE-0103,+912749757820,+915024878084,2023-01-31T21:29:00,1248,T Nagar,TOWER-134
CDR-058A0BFB,CASE-0166,+916195926409,+919305848954,2023-10-07T09:00:00,487,T Nagar,TOWER-484
CDR-252F1FBF,CASE-0070,+911083603078,+917597243138,2023-01-20T23:54:00,814,Karol Bagh,TOWER-313
CDR-EF0922A7,CASE-0320,+915683902697,+911804083484,2023-02-17T06:07:00,3543,Gurgaon Sector 29,TOWER-155
CDR-70EDC4D0,CASE-0221,+914893588865,+911444297592,2023-03-07T13:42:00,2062,Noida Sector 18,TOWER-896
CDR-883C5691,CASE-0007,+910290034167,+913656989323,2023-09-06T06:10:00,728,Gachibowli,TOWER-128
CDR-81822D9B,CASE-0362,+917290393874,+910716963812,2023-08-18T06:22:00,576,Bandra Kurla Complex,TOWER-857
CDR-1076B645,CASE-0485,+913547280012,+913547280012,2023-04-07T07:31:00,1022,Secunderabad Railway Station,TOWER-970
CDR-2F8CDE10,CASE-0465,+918890837405,+913584808192,2023-01-20T15:18:00,3312,Connaught Place,TOWER-816
CDR-0CFBA02B,CASE-0075,+910539363533,+912935565536,2023-06-13T02:56:00,1644,Bandra Kurla Complex,TOWER-728
CDR-42B4F02E,CASE-0229,+912848587043,+918624564306,2023-03-06T18:09:00,1566,T Nagar,TOWER-369
CDR-E3DAD650,CASE-0366,+911109103307,+913137093277,2023-10-16T20:47:00,952,Bandra Kurla Complex,TOWER-683
CDR-0B76D9EF,CASE-0285,+918939472482,+911518654279,2023-04-02T23:48:00,2164,T Nagar,TOWER-814
CDR-EC14FD50,CASE-0210,+919113918633,+919109072973,2023-02-15T03:52:00,2775,Anna Nagar,TOWER-105
CDR-FBD85006,CASE-0264,+914359315208,+915148982381,2023-10-27T00:02:00,1111,Salt Lake City,TOWER-207
CDR-1545442E,CASE-0197,+918545155824,+917290393874,2023-03-03T05:00:00,2217,T Nagar,TOWER-958
CDR-F681E5F7,CASE-0110,+912848587043,+912107471760,2023-09-12T07:00:00,508,Anna Nagar,TOWER-708
CDR-D666B78F,CASE-0178,+915041435052,+911173116530,2023-09-28T18:22:00,2825,Viman Nagar,TOWER-671
CDR-98E03C1E,CASE-0356,+913892283443,+913239675091,2023-03-14T17:20:00,2869,Bandra Kurla Complex,TOWER-422
CDR-02F87806,CASE-0232,+910276666490,+910195898574,2023-01-25T01:39:00,2781,Jubilee Hills,TOWER-905
CDR-8BCBA0F1,CASE-0275,+915527465681,+915527465681,2023-05-29T05:02:00,1531,T Nagar,TOWER-977
CDR-095A856C,CASE-0283,+914030400199,+915410574385,2023-10-10T07:56:00,3339,Karol Bagh,TOWER-776
CDR-0A8D2279,CASE-0104,+915024878084,+916209181900,2023-04-17T17:25:00,2432,Hinjewadi,TOWER-136
CDR-53094EE3,CASE-0194,+916762718341,+912465066522,2023-01-16T05:52:00,1066,Connaught Place,TOWER-647
CDR-038AB25D,CASE-0433,+914501634140,+912683632075,2023-10-25T01:37:00,251,Gachibowli,TOWER-211
CDR-426E3D45,CASE-0082,+914449595368,+918754762470,2023-07-05T02:44:00,482,Karol Bagh,TOWER-833
CDR-B36D0E4A,CASE-0055,+913842157215,+919018002402,2023-06-17T19:34:00,1517,Gurgaon Sector 29,TOWER-387
CDR-AB9F5DCB,CASE-0205,+910539363533,+919743921915,2023-10-05T18:03:00,1902,Gachibowli,TOWER-636
CDR-144316C0,CASE-0366,+917378067955,+911316835836,2023-08-03T05:16:00,2023,Bandra Kurla Complex,TOWER-196
CDR-210C1CA2,CASE-0183,+911995112073,+913646008230,2023-09-03T06:49:00,1778,Secunderabad Railway Station,TOWER-834
CDR-40E6188E,CASE-0063,+913967092791,+911643024435,2023-06-11T14:13:00,2413,Vasant Kunj,TOWER-286
CDR-25D5B573,CASE-0149,+918041381517,+917290393874,2023-02-20T10:46:00,924,Andheri West,TOWER-684
CDR-70D15784,CASE-0183,+917514951472,+911182887465,2023-03-18T22:48:00,1990,Salt Lake City,TOWER-327
CDR-20BFD827,CASE-0106,+915241522476,+915196119484,2023-07-21T10:37:00,2785,Bandra Kurla Complex,TOWER-594
CDR-C9666553,CASE-0160,+918684724500,+911347240704,2023-02-03T20:14:00,1813,T Nagar,TOWER-298
CDR-4FBF04CC,CASE-0003,+918869929555,+911933881404,2023-06-20T18:46:00,370,T Nagar,TOWER-548
CDR-2F5E9800,CASE-0316,+910351193387,+914206370446,2023-09-16T04:37:00,792,Bandra Kurla Complex,TOWER-318
CDR-31CF255F,CASE-0444,+918545155824,+910700839222,2023-10-23T00:41:00,887,Viman Nagar,TOWER-509
CDR-A465BCE6,CASE-0123,+912911010547,+913855177487,2023-08-07T23:19:00,1217,Karol Bagh,TOWER-695
CDR-9E4B2CE6,CASE-0416,+914359315208,+912440682429,2023-06-04T02:44:00,1537,Jubilee Hills,TOWER-612
CDR-B1CEEE83,CASE-0014,+912062619351,+914627704147,2023-09-27T23:32:00,36,Anna Nagar,TOWER-722
CDR-BE0D6E0B,CASE-0115,+910194795271,+918931844185,2023-05-22T22:31:00,2315,Connaught Place,TOWER-882
CDR-E758FE55,CASE-0027,+910134604279,+914498454860,2023-05-10T09:42:00,3382,Salt Lake City,TOWER-303
CDR-B01AA051,CASE-0500,+912604191298,+912867057971,2023-07-10T13:20:00,3413,Hinjewadi,TOWER-910
CDR-BA88A84B,CASE-0383,+915867724943,+915743766395,2023-02-26T16:12:00,1308,Gurgaon Sector 29,TOWER-661
CDR-7D058A6E,CASE-0189,+914271636761,+915024878084,2023-02-11T03:36:00,2618,Gachibowli,TOWER-147
CDR-E83807D6,CASE-0329,+914359315208,+913342875806,2023-05-08T03:59:00,793,New Town,TOWER-595
CDR-18FF9B2D,CASE-0390,+919567825906,+916291134658,2023-04-13T22:01:00,279,Jubilee Hills,TOWER-677
CDR-AFA46A99,CASE-0115,+910194795271,+915140721957,2023-01-15T11:24:00,2117,Bandra Kurla Complex,TOWER-642
CDR-7816AE7F,CASE-0192,+913975433895,+916878813949,2023-10-12T02:25:00,1851,Noida Sector 18,TOWER-466
CDR-4F951B0B,CASE-0459,+915024878084,+911609473864,2023-01-18T04:34:00,1244,Indiranagar,TOWER-180
CDR-112A9DFD,CASE-0122,+912848587043,+910539363533,2023-02-13T03:18:00,3014,Secunderabad Railway Station,TOWER-358
CDR-2321F000,CASE-0366,+917378067955,+913391717337,2023-07-21T01:41:00,2505,New Town,TOWER-527
CDR-1935664C,CASE-0460,+910907184766,+912569540720,2023-10-08T11:25:00,2151,Koramangala,TOWER-747
CDR-D2C8E94D,CASE-0254,+917171692448,+911408257218,2023-07-13T11:47:00,1921,Jubilee Hills,TOWER-485
CDR-061011C5,CASE-0241,+912180394667,+917863513821,2023-05-04T14:59:00,2637,Andheri West,TOWER-907
CDR-B5B5B979,CASE-0385,+910299954751,+910235713526,2023-04-28T23:58:00,1513,Andheri West,TOWER-440
CDR-5011B075,CASE-0189,+914271636761,+910101173267,2023-07-08T14:48:00,2187,Hinjewadi,TOWER-818
CDR-45C2B6A3,CASE-0488,+913479765413,+918463930470,2023-03-19T09:26:00,622,T Nagar,TOWER-276
CDR-7EF76FA9,CASE-0446,+914032404397,+916433950669,2023-08-07T16:03:00,1701,Salt Lake City,TOWER-545
CDR-D611DF5E,CASE-0340,+911350969116,+914204411158,2023-01-22T15:58:00,370,Andheri West,TOWER-382
CDR-7A840676,CASE-0133,+917766390146,+917503577763,2023-06-29T15:08:00,261,Indiranagar,TOWER-182
CDR-CF9D58AF,CASE-0292,+915041435052,+919011733640,2023-09-16T06:46:00,2113,New Town,TOWER-333
CDR-365B1479,CASE-0459,+910905902783,+912810989754,2023-06-18T11:02:00,3111,Koramangala,TOWER-657
CDR-AC349299,CASE-0406,+919032394980,+919106981570,2023-03-04T03:12:00,2635,Koramangala,TOWER-143
CDR-1753039E,CASE-0061,+911341083704,+915195278219,2023-10-15T06:15:00,809,Indiranagar,TOWER-527
CDR-F9BE32F8,CASE-0012,+915024878084,+910674161318,2023-01-22T07:03:00,23,Vasant Kunj,TOWER-322
CDR-75089F62,CASE-0494,+911332806117,+913317088094,2023-01-24T19:14:00,1532,Noida Sector 18,TOWER-923
CDR-A3244418,CASE-0216,+917825474959,+913783281168,2023-03-28T06:11:00,1450,New Town,TOWER-944
CDR-F58DE96A,CASE-0123,+912911010547,+916306090274,2023-03-31T05:53:00,1929,Hinjewadi,TOWER-295
CDR-A849092C,CASE-0212,+916957872622,+913715306778,2023-08-03T21:38:00,966,Koramangala,TOWER-588
CDR-951F68EB,CASE-0452,+917290393874,+915020697666,2023-09-15T04:27:00,1356,Secunderabad Railway Station,TOWER-958
CDR-9AE1385F,CASE-0080,+917607880395,+919345912958,2023-03-16T22:08:00,1086,Connaught Place,TOWER-260
CDR-3BA640A0,CASE-0431,+915973347773,+916832923016,2023-04-15T22:24:00,1470,T Nagar,TOWER-364
CDR-CFB7256E,CASE-0124,+919382751873,+911838849747,2023-02-23T05:58:00,1718,Andheri West,TOWER-251
CDR-F55E9FCB,CASE-0138,+911953201389,+914517947545,2023-07-02T08:55:00,1900,Koramangala,TOWER-324
CDR-BA8CB2E2,CASE-0138,+918390351790,+910852634410,2023-08-24T16:44:00,1937,Viman Nagar,TOWER-499
CDR-63EB8491,CASE-0261,+912440682429,+916239243705,2023-02-15T17:49:00,1598,Gachibowli,TOWER-737
CDR-A4338052,CASE-0033,+912539952294,+910748994525,2023-01-03T16:08:00,810,Viman Nagar,TOWER-483
CDR-5BA37741,CASE-0410,+910753540823,+912424869147,2023-09-25T16:57:00,3397,Gachibowli,TOWER-347
CDR-57ED0FC4,CASE-0158,+914239058338,+913975433895,2023-06-07T05:51:00,247,Andheri West,TOWER-499
CDR-584AC82A,CASE-0100,+916010922190,+912431922350,2023-08-26T00:24:00,1800,Gachibowli,TOWER-432
CDR-A7C472E8,CASE-0098,+916209181900,+915024878084,2023-05-08T01:30:00,3345,Hinjewadi,TOWER-223
CDR-888837C2,CASE-0388,+919282964828,+919588676265,2023-04-08T03:53:00,1287,Salt Lake City,TOWER-804
CDR-6DF3D29F,CASE-0002,+910282069071,+916224509569,2023-08-03T14:22:00,2570,Salt Lake City,TOWER-589
CDR-85C3359B,CASE-0286,+913547280012,+918190946953,2023-03-22T22:25:00,1185,T Nagar,TOWER-994
CDR-E1260608,CASE-0088,+916082178842,+911821050959,2023-06-18T17:53:00,838,T Nagar,TOWER-811
CDR-B399CEB9,CASE-0489,+913986950305,+915667471214,2023-08-09T10:44:00,1431,Karol Bagh,TOWER-688
CDR-8FB7A645,CASE-0399,+913470946835,+910388256878,2023-04-07T12:38:00,3358,Indiranagar,TOWER-486
CDR-6EA2FCC7,CASE-0401,+914606673509,+913574492214,2023-05-19T14:36:00,289,New Town,TOWER-350
CDR-FB1432F8,CASE-0106,+915241522476,+916836823883,2023-07-11T10:16:00,3215,Salt Lake City,TOWER-916
CDR-914E57A3,CASE-0351,+915867724943,+913832801581,2023-08-16T19:51:00,975,Andheri West,TOWER-877
CDR-822CF0A5,CASE-0266,+911782032348,+911885956157,2023-09-10T00:07:00,829,Vasant Kunj,TOWER-998
CDR-FF81D809,CASE-0039,+916992627603,+912269485744,2023-10-13T06:11:00,2484,Gachibowli,TOWER-678
CDR-46FB7458,CASE-0374,+914206370446,+912914450377,2023-07-15T17:14:00,2429,Indiranagar,TOWER-746
CDR-D32228F6,CASE-0059,+919274027562,+911996635382,2023-07-27T10:16:00,63,Hinjewadi,TOWER-117
CDR-4518A7DE,CASE-0451,+914816730961,+914271636761,2023-07-16T12:57:00,1021,T Nagar,TOWER-831
CDR-F6A81EF5,CASE-0341,+916426664114,+914239058338,2023-09-06T17:49:00,1891,Hinjewadi,TOWER-141
CDR-A940D349,CASE-0117,+911059114763,+919895141904,2023-01-26T17:14:00,2644,Jubilee Hills,TOWER-841
CDR-1EAA1D08,CASE-0139,+910506827982,+910238441060,2023-09-14T07:46:00,371,New Town,TOWER-646
CDR-4A933585,CASE-0137,+911885956157,+915090885958,2023-04-28T05:28:00,299,Jubilee Hills,TOWER-761
CDR-C22A85F4,CASE-0061,+911341083704,+918928659645,2023-01-31T05:01:00,2128,Andheri West,TOWER-583
CDR-57B7A7D1,CASE-0102,+915913507143,+913975433895,2023-09-06T10:30:00,3493,T Nagar,TOWER-598
CDR-14920DA5,CASE-0132,+913975433895,+916817867723,2023-10-27T20:14:00,1749,Viman Nagar,TOWER-499
CDR-DBB43152,CASE-0115,+910194795271,+911880770505,2023-09-05T08:44:00,1996,Hinjewadi,TOWER-470
CDR-CC530A9B,CASE-0373,+913244157050,+917906984762,2023-09-12T08:31:00,586,Hinjewadi,TOWER-699
CDR-3EBFD3A9,CASE-0335,+910757396191,+912944606941,2023-09-20T02:23:00,1517,Anna Nagar,TOWER-714
CDR-2AE83190,CASE-0500,+919054241232,+919311749984,2023-07-23T03:56:00,2494,New Town,TOWER-740
CDR-1A689236,CASE-0430,+913041633393,+917083535297,2023-01-03T06:14:00,1172,Andheri West,TOWER-470
CDR-4C95F64B,CASE-0009,+919743316415,+915742456882,2023-03-25T11:47:00,2677,Bandra Kurla Complex,TOWER-337
CDR-E1E525C9,CASE-0343,+915616876987,+915027265092,2023-05-04T10:22:00,1861,Hinjewadi,TOWER-685
CDR-F8390CD8,CASE-0377,+914577212430,+919824357288,2023-09-26T02:58:00,2483,Karol Bagh,TOWER-299
CDR-DF6DDD04,CASE-0483,+918624564306,+910606557118,2023-04-27T14:39:00,477,Gachibowli,TOWER-393
CDR-963FF6E9,CASE-0277,+919475511883,+910233431973,2023-05-23T04:35:00,958,New Town,TOWER-317
CDR-D6ED6101,CASE-0072,+915041435052,+915041435052,2023-05-18T20:07:00,1216,Koramangala,TOWER-858
CDR-6FF3F8F9,CASE-0115,+913158520864,+915106077952,2023-06-12T15:38:00,2746,Anna Nagar,TOWER-667
CDR-9FB87053,CASE-0322,+911151048469,+914783156443,2023-04-18T20:21:00,2478,Viman Nagar,TOWER-949
CDR-FD77E4D3,CASE-0413,+917368995047,+912842834307,2023-06-05T21:34:00,2162,T Nagar,TOWER-236
CDR-D22F609D,CASE-0166,+918618187199,+918843545700,2023-05-09T14:11:00,2979,Viman Nagar,TOWER-890
CDR-135791A6,CASE-0186,+916367870316,+915731247295,2023-08-16T08:51:00,2698,Karol Bagh,TOWER-820
CDR-421DBAAA,CASE-0163,+913084772999,+912336174257,2023-08-31T23:50:00,3439,T Nagar,TOWER-471
CDR-EDB80BD3,CASE-0341,+914239058338,+914239058338,2023-09-10T13:04:00,2567,New Town,TOWER-784
CDR-B0A91EEA,CASE-0418,+915562418759,+917503953277,2023-01-23T12:24:00,2646,Vasant Kunj,TOWER-794
CDR-23B34824,CASE-0258,+912891254249,+912279234917,2023-02-10T12:22:00,25,Connaught Place,TOWER-853
CDR-6E9BC37D,CASE-0417,+919458484561,+915148982381,2023-04-14T15:09:00,52,Gurgaon Sector 29,TOWER-509
CDR-3746CB05,CASE-0047,+918843545700,+914133630482,2023-09-28T01:09:00,2865,Indiranagar,TOWER-955
CDR-143A1E55,CASE-0267,+917290393874,+912208128949,2023-08-25T02:20:00,1092,Hinjewadi,TOWER-249
CDR-557AF63B,CASE-0147,+914271636761,+913975433895,2023-09-07T23:41:00,302,Secunderabad Railway Station,TOWER-707
CDR-D612E72E,CASE-0451,+914271636761,+913975433895,2023-10-11T14:45:00,1484,Andheri West,TOWER-601
CDR-5195F07A,CASE-0481,+910683601456,+915600782431,2023-02-13T07:58:00,431,Indiranagar,TOWER-655
CDR-2F25CEB1,CASE-0100,+916010922190,+916146514006,2023-01-04T16:06:00,141,Karol Bagh,TOWER-608
CDR-C7080EB3,CASE-0459,+910706300277,+913602078681,2023-08-12T15:03:00,3059,Indiranagar,TOWER-689
CDR-FB4459A4,CASE-0447,+917942103685,+914512177833,2023-10-19T18:11:00,112,Andheri West,TOWER-388
CDR-5515459E,CASE-0018,+913632681752,+915264448220,2023-08-06T11:42:00,1174,New Town,TOWER-803
CDR-149889B4,CASE-0314,+918545155824,+919618283898,2023-01-11T23:23:00,2841,Secunderabad Railway Station,TOWER-680
CDR-9F154258,CASE-0188,+916459405371,+914178441036,2023-09-29T00:59:00,752,Secunderabad Railway Station,TOWER-305
CDR-23D29DAA,CASE-0158,+914239058338,+913121201754,2023-04-17T10:14:00,2255,Gachibowli,TOWER-800
CDR-00A99F89,CASE-0123,+912911010547,+914746033631,2023-03-22T13:47:00,1874,Vasant Kunj,TOWER-773
CDR-6F7026EC,CASE-0163,+913084772999,+919889354534,2023-01-19T19:52:00,1046,Salt Lake City,TOWER-829
CDR-930D60C9,CASE-0179,+913975433895,+910880965390,2023-06-10T14:56:00,2005,Connaught Place,TOWER-752
CDR-23777BA9,CASE-0458,+915692124936,+915679029277,2023-03-15T07:40:00,3206,Gurgaon Sector 29,TOWER-694
CDR-75B75627,CASE-0239,+918343190114,+918460139346,2023-07-26T18:30:00,526,Jubilee Hills,TOWER-106
CDR-F0A7F463,CASE-0460,+916121517582,+912731770112,2023-03-07T16:53:00,3437,Hinjewadi,TOWER-954
CDR-80D36BF2,CASE-0240,+916454824897,+917823270513,2023-10-18T15:28:00,840,T Nagar,TOWER-217
CDR-DDA3032C,CASE-0300,+912905983086,+911329252271,2023-07-11T19:25:00,1725,Noida Sector 18,TOWER-554
CDR-333B07B2,CASE-0077,+918624564306,+913956630802,2023-01-31T01:59:00,364,Viman Nagar,TOWER-289
CDR-FAB61B24,CASE-0393,+910753540823,+910476275156,2023-02-23T02:28:00,2108,Gachibowli,TOWER-432
CDR-8FAF53AD,CASE-0239,+918343190114,+914723811977,2023-03-03T05:13:00,197,Viman Nagar,TOWER-800
CDR-A0530B43,CASE-0260,+917370690796,+915028711263,2023-05-16T20:35:00,1459,Connaught Place,TOWER-738
CDR-398083DB,CASE-0307,+914239058338,+915920116378,2023-03-09T20:38:00,834,Connaught Place,TOWER-543
CDR-A97CCC44,CASE-0214,+914168851834,+912277902194,2023-06-29T01:48:00,1724,Vasant Kunj,TOWER-475
CDR-8DC7844E,CASE-0177,+911043729127,+910282655603,2023-02-25T22:26:00,2179,T Nagar,TOWER-543
CDR-5DE6A09C,CASE-0330,+915527465681,+912424803003,2023-01-21T03:50:00,1178,Salt Lake City,TOWER-384
CDR-A4F1CB9E,CASE-0102,+914356548615,+914629359736,2023-04-22T20:31:00,1640,Gachibowli,TOWER-223
CDR-981BCD57,CASE-0456,+917015744250,+919901624487,2023-06-20T21:37:00,638,Connaught Place,TOWER-499
CDR-F7824A2F,CASE-0039,+916992627603,+913794550343,2023-01-18T18:45:00,752,Viman Nagar,TOWER-635
CDR-AAC78A03,CASE-0136,+914000347048,+910504045856,2023-10-14T17:27:00,1083,Hinjewadi,TOWER-643
CDR-28FB78C1,CASE-0111,+915920116378,+918043647757,2023-05-28T00:01:00,3470,Vasant Kunj,TOWER-566
CDR-DE15CD07,CASE-0025,+910755418493,+910309261819,2023-07-27T03:10:00,1297,Hinjewadi,TOWER-656
CDR-87D656B1,CASE-0462,+913852811985,+915041435052,2023-03-29T22:59:00,3153,Indiranagar,TOWER-521
CDR-E864F2D9,CASE-0235,+914239058338,+912884836181,2023-07-13T16:16:00,592,Noida Sector 18,TOWER-672
CDR-0B6E35EB,CASE-0334,+918909841089,+911233503989,2023-08-02T02:24:00,1412,New Town,TOWER-963
CDR-7FBBBEA8,CASE-0433,+914501634140,+914774858207,2023-04-30T21:21:00,1397,Koramangala,TOWER-126
CDR-CDCA5183,CASE-0419,+912131143817,+910932627488,2023-05-31T05:53:00,68,Bandra Kurla Complex,TOWER-629
CDR-EE734A1D,CASE-0173,+912301663207,+911977676696,2023-04-29T19:00:00,357,Gurgaon Sector 29,TOWER-627
CDR-93FB789E,CASE-0133,+916742531748,+911111084420,2023-10-28T08:13:00,78,Secunderabad Railway Station,TOWER-569
CDR-FAE61BED,CASE-0145,+916978992224,+915284702361,2023-07-10T01:21:00,3212,Hinjewadi,TOWER-183
CDR-B9CDA3C2,CASE-0328,+918543058950,+913503805346,2023-05-13T17:32:00,3370,Andheri West,TOWER-107
CDR-68105112,CASE-0110,+912848587043,+914578760757,2023-10-02T17:49:00,2991,Gachibowli,TOWER-410
CDR-99FE2708,CASE-0475,+914399993108,+911262613098,2023-08-31T06:13:00,1414,Connaught Place,TOWER-444
CDR-C126F20C,CASE-0196,+917930190198,+911015410852,2023-08-21T09:50:00,1790,Bandra Kurla Complex,TOWER-130
CDR-17D4E410,CASE-0017,+912392123364,+915920116378,2023-04-05T08:46:00,2254,Koramangala,TOWER-748
CDR-11CEA0C2,CASE-0303,+912706930524,+911461897471,2023-10-23T13:38:00,3327,Anna Nagar,TOWER-196
CDR-611AFA71,CASE-0085,+919272628400,+914271636761,2023-02-28T14:22:00,2944,Karol Bagh,TOWER-677
CDR-B6C6ADFD,CASE-0236,+913067876211,+916059849976,2023-02-20T03:31:00,792,Bandra Kurla Complex,TOWER-778
CDR-E7815BEC,CASE-0175,+915215091504,+911782032348,2023-06-01T22:31:00,261,Andheri West,TOWER-578
CDR-122BF7A0,CASE-0280,+918932983493,+916809864041,2023-08-27T07:29:00,3082,Andheri West,TOWER-418
CDR-03FE72B5,CASE-0053,+910344747960,+919136862517,2023-04-10T21:34:00,2913,Gurgaon Sector 29,TOWER-429
CDR-AEE65675,CASE-0393,+910753540823,+916760157881,2023-05-28T02:28:00,502,Bandra Kurla Complex,TOWER-648
CDR-9494A38B,CASE-0453,+912740991174,+915921633914,2023-02-07T06:10:00,1347,Secunderabad Railway Station,TOWER-160
CDR-67502805,CASE-0096,+919209133168,+919510395679,2023-04-08T01:11:00,146,Gachibowli,TOWER-406
CDR-6D9A0883,CASE-0176,+913520293182,+912062619351,2023-06-26T07:58:00,2785,Connaught Place,TOWER-912
CDR-7B144C9A,CASE-0467,+917082607474,+918894577171,2023-09-20T22:05:00,2179,Secunderabad Railway Station,TOWER-787
CDR-10AEEF35,CASE-0440,+915716572478,+915224598136,2023-04-30T02:37:00,2755,Andheri West,TOWER-211
CDR-6AEBF2BB,CASE-0464,+912138937116,+916202380303,2023-08-31T11:01:00,2260,Koramangala,TOWER-730
CDR-44C6CA9B,CASE-0150,+915215163908,+913304530460,2023-05-01T18:40:00,731,Anna Nagar,TOWER-616
CDR-572D887D,CASE-0008,+917498717859,+915821804320,2023-07-20T15:56:00,2306,Noida Sector 18,TOWER-364
CDR-1E925659,CASE-0420,+910611103211,+918562348631,2023-08-21T17:03:00,963,Connaught Place,TOWER-333
CDR-BBAB58BE,CASE-0364,+914575175709,+914287576636,2023-06-21T05:08:00,556,Bandra Kurla Complex,TOWER-537
