pattern_id,pattern_type,case_id_a,case_id_b,entity_type,entity_value,expected_relationship,risk_level,explanation
PAT-D2E4B861,SHARED_UPI,CASE-0165,CASE-0324,UPI_ID,karthik5492@okicici,SHARED_ENTITY,CRITICAL,Same UPI ID found in multiple cases.
PAT-F89FC80F,SHARED_UPI,CASE-0324,CASE-0391,UPI_ID,karthik5492@okicici,SHARED_ENTITY,CRITICAL,Same UPI ID found in multiple cases.
PAT-65B1F501,SHARED_UPI,CASE-0391,CASE-0494,UPI_ID,karthik5492@okicici,SHARED_ENTITY,CRITICAL,Same UPI ID found in multiple cases.
PAT-5055EB38,SHARED_UPI,CASE-0494,CASE-0185,UPI_ID,karthik5492@okicici,SHARED_ENTITY,MEDIUM,Same UPI ID found in multiple cases.
PAT-9D11BA05,TRANSACTION_CHAIN,CASE-0304,CASE-0006,UPI_ID,priya7684@upi,TRANSACTED,CRITICAL,Cross-case transaction detected.
PAT-81F2F5A9,TRANSACTION_CHAIN,CASE-0409,CASE-0020,UPI_ID,karthik5492@okicici,TRANSACTED,CRITICAL,Cross-case transaction detected.
PAT-D3E7DFFC,TRANSACTION_CHAIN,CASE-0111,CASE-0037,UPI_ID,gaurav8530@oksbi,TRANSACTED,CRITICAL,Cross-case transaction detected.
PAT-5BCC0E3A,TRANSACTION_CHAIN,CASE-0272,CASE-0028,UPI_ID,gaurav6087@okhdfcbank,TRANSACTED,CRITICAL,Cross-case transaction detected.
PAT-E60600AA,TRANSACTION_CHAIN,CASE-0257,CASE-0004,UPI_ID,manoj466@oksbi,TRANSACTED,CRITICAL,Cross-case transaction detected.
PAT-E1B24FBE,TRANSACTION_CHAIN,CASE-0183,CASE-0016,UPI_ID,priya2314@oksbi,TRANSACTED,CRITICAL,Cross-case transaction detected.
PAT-75874CBE,TRANSACTION_CHAIN,CASE-0458,CASE-0012,UPI_ID,priyanka3970@okhdfcbank,TRANSACTED,CRITICAL,Cross-case transaction detected.
PAT-D6AC33AE,TRANSACTION_CHAIN,CASE-0170,CASE-0298,UPI_ID,rajesh8012@okicici,TRANSACTED,CRITICAL,Cross-case transaction detected.
PAT-8EF74843,TRANSACTION_CHAIN,CASE-0023,CASE-0037,UPI_ID,gaurav8530@oksbi,TRANSACTED,CRITICAL,Cross-case transaction detected.
PAT-B6A1F9CE,TRANSACTION_CHAIN,CASE-0179,CASE-0037,UPI_ID,vishal4819@okicici,TRANSACTED,CRITICAL,Cross-case transaction detected.
PAT-429375D9,TRANSACTION_CHAIN,CASE-0305,CASE-0068,UPI_ID,suresh8992@paytm,TRANSACTED,CRITICAL,Cross-case transaction detected.
PAT-99CBB4DC,TRANSACTION_CHAIN,CASE-0263,CASE-0258,UPI_ID,priyanka1717@oksbi,TRANSACTED,CRITICAL,Cross-case transaction detected.
PAT-BBA3207A,TRANSACTION_CHAIN,CASE-0461,CASE-0004,UPI_ID,nitin2739@okicici,TRANSACTED,CRITICAL,Cross-case transaction detected.
PAT-9D7A845D,TRANSACTION_CHAIN,CASE-0362,CASE-0020,UPI_ID,amit4927@oksbi,TRANSACTED,CRITICAL,Cross-case transaction detected.
PAT-02648E44,TRANSACTION_CHAIN,CASE-0188,CASE-0082,UPI_ID,sunita754@paytm,TRANSACTED,CRITICAL,Cross-case transaction detected.
PAT-9BC77BA5,TRANSACTION_CHAIN,CASE-0180,CASE-0014,UPI_ID,rahul6041@oksbi,TRANSACTED,CRITICAL,Cross-case transaction detected.
PAT-29D1FF01,TRANSACTION_CHAIN,CASE-0066,CASE-0101,UPI_ID,sanjay6719@oksbi,TRANSACTED,CRITICAL,Cross-case transaction detected.
PAT-8FD61906,TRANSACTION_CHAIN,CASE-0084,CASE-0024,UPI_ID,priyanka4284@upi,TRANSACTED,CRITICAL,Cross-case transaction detected.
PAT-15B4A0D0,TRANSACTION_CHAIN,CASE-0353,CASE-0024,UPI_ID,priyanka4284@upi,TRANSACTED,CRITICAL,Cross-case transaction detected.
PAT-12FFB4DA,TRANSACTION_CHAIN,CASE-0146,CASE-0035,UPI_ID,sunita2821@okhdfcbank,TRANSACTED,CRITICAL,Cross-case transaction detected.
PAT-BC3C3FF5,TRANSACTION_CHAIN,CASE-0073,CASE-0006,UPI_ID,priya7684@upi,TRANSACTED,CRITICAL,Cross-case transaction detected.
PAT-C1943E46,TRANSACTION_CHAIN,CASE-0186,CASE-0037,UPI_ID,gaurav8530@oksbi,TRANSACTED,CRITICAL,Cross-case transaction detected.
PAT-3A752CBC,TRANSACTION_CHAIN,CASE-0016,CASE-0004,UPI_ID,nitin2739@okicici,TRANSACTED,CRITICAL,Cross-case transaction detected.
PAT-AF457FBD,TRANSACTION_CHAIN,CASE-0200,CASE-0146,UPI_ID,sunita5102@upi,TRANSACTED,CRITICAL,Cross-case transaction detected.
PAT-3735FFC4,TRANSACTION_CHAIN,CASE-0393,CASE-0006,UPI_ID,priya7684@upi,TRANSACTED,CRITICAL,Cross-case transaction detected.
PAT-068144F0,TRANSACTION_CHAIN,CASE-0264,CASE-0054,UPI_ID,priya8904@oksbi,TRANSACTED,CRITICAL,Cross-case transaction detected.
PAT-63FAD104,TRANSACTION_CHAIN,CASE-0266,CASE-0024,UPI_ID,priyanka4284@upi,TRANSACTED,CRITICAL,Cross-case transaction detected.
PAT-1E890538,TRANSACTION_CHAIN,CASE-0313,CASE-0037,UPI_ID,vishal4819@okicici,TRANSACTED,CRITICAL,Cross-case transaction detected.
PAT-9D1FC210,TRANSACTION_CHAIN,CASE-0480,CASE-0014,UPI_ID,rahul6041@oksbi,TRANSACTED,CRITICAL,Cross-case transaction detected.
PAT-A8FF0CF8,TRANSACTION_CHAIN,CASE-0138,CASE-0481,UPI_ID,anjali7281@paytm,TRANSACTED,CRITICAL,Cross-case transaction detected.
PAT-6792C506,TRANSACTION_CHAIN,CASE-0423,CASE-0035,UPI_ID,sunita2821@okhdfcbank,TRANSACTED,CRITICAL,Cross-case transaction detected.
PAT-22A58D2F,TRANSACTION_CHAIN,CASE-0062,CASE-0006,UPI_ID,priya7684@upi,TRANSACTED,CRITICAL,Cross-case transaction detected.
PAT-32E921EE,TRANSACTION_CHAIN,CASE-0362,CASE-0146,UPI_ID,sunita5102@upi,TRANSACTED,CRITICAL,Cross-case transaction detected.
PAT-619DF107,TRANSACTION_CHAIN,CASE-0296,CASE-0016,UPI_ID,priya2314@oksbi,TRANSACTED,CRITICAL,Cross-case transaction detected.
PAT-205F5399,TRANSACTION_CHAIN,CASE-0434,CASE-0035,UPI_ID,sunita2821@okhdfcbank,TRANSACTED,CRITICAL,Cross-case transaction detected.
PAT-E8A7D415,TRANSACTION_CHAIN,CASE-0426,CASE-0286,UPI_ID,priyanka9666@oksbi,TRANSACTED,CRITICAL,Cross-case transaction detected.
PAT-AD161E61,TRANSACTION_CHAIN,CASE-0122,CASE-0014,UPI_ID,rahul6041@oksbi,TRANSACTED,CRITICAL,Cross-case transaction detected.
PAT-931F2457,TRANSACTION_CHAIN,CASE-0169,CASE-0037,UPI_ID,vishal4819@okicici,TRANSACTED,CRITICAL,Cross-case transaction detected.
PAT-1734689D,TRANSACTION_CHAIN,CASE-0164,CASE-0004,UPI_ID,manoj466@oksbi,TRANSACTED,CRITICAL,Cross-case transaction detected.
PAT-EAF86504,TRANSACTION_CHAIN,CASE-0308,CASE-0207,UPI_ID,kavita3179@oksbi,TRANSACTED,CRITICAL,Cross-case transaction detected.
PAT-5CE47357,TRANSACTION_CHAIN,CASE-0360,CASE-0020,UPI_ID,karthik5492@okicici,TRANSACTED,CRITICAL,Cross-case transaction detected.
PAT-D93DE997,TRANSACTION_CHAIN,CASE-0057,CASE-0028,UPI_ID,gaurav6087@okhdfcbank,TRANSACTED,CRITICAL,Cross-case transaction detected.
PAT-B63FD48B,TRANSACTION_CHAIN,CASE-0261,CASE-0054,UPI_ID,priya8904@oksbi,TRANSACTED,CRITICAL,Cross-case transaction detected.
PAT-60D2FEDD,TRANSACTION_CHAIN,CASE-0064,CASE-0004,UPI_ID,nitin2739@okicici,TRANSACTED,CRITICAL,Cross-case transaction detected.
PAT-6DA15A54,TRANSACTION_CHAIN,CASE-0104,CASE-0016,UPI_ID,priya2314@oksbi,TRANSACTED,CRITICAL,Cross-case transaction detected.
PAT-F0B576F1,TRANSACTION_CHAIN,CASE-0422,CASE-0004,UPI_ID,manoj466@oksbi,TRANSACTED,CRITICAL,Cross-case transaction detected.
PAT-F342A996,TRANSACTION_CHAIN,CASE-0077,CASE-0146,UPI_ID,sunita5102@upi,TRANSACTED,CRITICAL,Cross-case transaction detected.
PAT-88A88B3C,TRANSACTION_CHAIN,CASE-0165,CASE-0020,UPI_ID,karthik5492@okicici,TRANSACTED,CRITICAL,Cross-case transaction detected.
PAT-75D93703,TRANSACTION_CHAIN,CASE-0353,CASE-0016,UPI_ID,priya2314@oksbi,TRANSACTED,CRITICAL,Cross-case transaction detected.
